learning_rate,batch_size,activation_function,mean_accuracy_validation
0.001,16,Sigmoid(),0.007905674085397227
0.01,16,Sigmoid(),0.010480629076156867
0.1,24,ReLU(),0.002009753573739045
0.01,16,ReLU(),0.003968128283905799
0.1,8,Sigmoid(),0.0017552406151914966
0.001,16,ReLU(),0.03829461756181771
0.001,8,ReLU(),0.035452229680920794
0.1,24,Sigmoid(),0.0022672908628026166
0.01,24,Sigmoid(),0.024590417294549367
0.001,24,Sigmoid(),0.027939205190614595
0.001,24,ReLU(),0.0361152131785153
0.01,8,Sigmoid(),0.004360435561212566
0.001,8,Sigmoid(),0.010560467633143736
0.1,8,Sigmoid(),0.0025199921542020066
0.01,16,ReLU(),0.016441821947317616
0.1,16,ReLU(),0.0026013176475215044
0.01,8,ReLU(),0.023375272698512316
0.1,24,Sigmoid(),0.002429054963732656
0.1,24,ReLU(),0.002032710011520972
0.01,24,Sigmoid(),0.005222898414184703
0.001,24,ReLU(),0.03531540306417923
0.1,8,ReLU(),0.0020781809098110757
0.001,8,ReLU(),0.04155058729923387
0.1,24,ReLU(),0.0017473677248907664
0.01,8,Sigmoid(),0.007086954420405869
0.1,16,Sigmoid(),0.0019338942777966564
0.1,24,Sigmoid(),0.0023035032688982523
0.01,24,Sigmoid(),0.023595205698526262
0.01,16,ReLU(),0.03180359045838944
0.1,8,Sigmoid(),0.0018410298486703307
0.001,8,ReLU(),0.03670638363918803
0.01,24,ReLU(),0.03136762981226363
0.001,8,Sigmoid(),0.0031195023973215816
0.1,8,ReLU(),0.0022116948953706003
0.001,16,ReLU(),0.03677492026570861
0.001,24,Sigmoid(),0.01209643266596203
0.01,16,Sigmoid(),0.0077629434813783135
0.001,16,Sigmoid(),0.018543454661196595
0.01,8,Sigmoid(),0.005817468603408426
0.01,8,ReLU(),0.03284424468793147
0.001,16,Sigmoid(),0.013734241322288135
0.001,8,Sigmoid(),0.006962548600331879
0.001,24,Sigmoid(),0.017200164711174408
0.001,24,ReLU(),0.03384540256370436
0.1,16,ReLU(),0.002193252864967455
0.01,24,ReLU(),0.030212968476648262
0.1,16,ReLU(),0.0018358994786485494
0.01,8,ReLU(),0.007103851519353305
0.01,16,Sigmoid(),0.0031720830370906153
0.1,16,Sigmoid(),0.002164840070136162
0.1,16,Sigmoid(),0.002497925533290491
0.1,8,ReLU(),0.002180297759440283
0.001,16,ReLU(),0.04481110619922893
0.01,24,ReLU(),0.03293195550711304
